instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.833,0.608,0.683
0,"Sure thing, the entities regarding food are listed as follows:  milk","Of course, the entities are tied in this way:  milk - http://purl.obolibrary.org/obo/UBERON_0001913.","Indeed, the entities are connected as such: milk - http://purl.obolibrary.org/obo/UBERON_0001913.", , , ,1.000,1.000,1.000
0_0, , , ,milk,http://purl.obolibrary.org/obo/UBERON_0001913,http://purl.obolibrary.org/obo/UBERON_0001913, , , 
1,"Indeed, the entities that relate to food are:  milk, milk product","Certainly, the entities are correlated as:  milk - http://purl.obolibrary.org/obo/UBERON_0001913, milk product - http://purl.obolibrary.org/obo/FOODON_00001256;http://purl.obolibrary.org/obo/UBERON_0001913.","Absolutely, the entities are related accordingly: milk - http://purl.obolibrary.org/obo/UBERON_0001913, new - http://purl.obolibrary.org/obo/PATO_0000325, normal - http://purl.obolibrary.org/obo/FOODON_03315106.", , , ,0.667,0.333,0.444
1_0, , , ,milk,http://purl.obolibrary.org/obo/UBERON_0001913,http://purl.obolibrary.org/obo/UBERON_0001913, , , 
1_1, , , ,milk product,"http://purl.obolibrary.org/obo/FOODON_00001256
http://purl.obolibrary.org/obo/UBERON_0001913",, , , 
2,"Yes, the entities related to food are as follows:  fruits, industrial foods, pretzels, biscuits, wafers, chocolate, ice cream, savoury and sweet pastries, soft drinks, alcoholic beverages, snacks, home-made pastries","Certainly, the entities are being linked:  fruits - http://purl.obolibrary.org/obo/FOODON_03304644, chocolate - http://purl.obolibrary.org/obo/FOODON_03307240;http://purl.obolibrary.org/obo/NCBITaxon_3641, ice cream - http://purl.obolibrary.org/obo/FOODON_00001045;http://purl.obolibrary.org/obo/ENVO_01001125;http://purl.obolibrary.org/obo/FOODON_03301926.","Of course, the entities are bonded in the following way: fruits - http://purl.obolibrary.org/obo/FOODON_03304644, ice cream - http://purl.obolibrary.org/obo/FOODON_00001045;http://purl.obolibrary.org/obo/FOODON_03301926;http://purl.obolibrary.org/obo/ENVO_01001125, food - http://purl.obolibrary.org/obo/CHEBI_33290, chocolate - http://purl.obolibrary.org/obo/FOODON_03307240;http://purl.obolibrary.org/obo/NCBITaxon_3641, ice - http://purl.obolibrary.org/obo/FOODON_03301926;http://purl.obolibrary.org/obo/ENVO_01001125.", , , ,1.000,1.000,1.000
2_0, , , ,fruits,http://purl.obolibrary.org/obo/FOODON_03304644,http://purl.obolibrary.org/obo/FOODON_03304644, , , 
2_1, , , ,chocolate,"http://purl.obolibrary.org/obo/FOODON_03307240
http://purl.obolibrary.org/obo/NCBITaxon_3641","http://purl.obolibrary.org/obo/FOODON_03307240
http://purl.obolibrary.org/obo/NCBITaxon_3641", , , 
2_2, , , ,ice cream,"http://purl.obolibrary.org/obo/ENVO_01001125
http://purl.obolibrary.org/obo/FOODON_00001045
http://purl.obolibrary.org/obo/FOODON_03301926","http://purl.obolibrary.org/obo/ENVO_01001125
http://purl.obolibrary.org/obo/FOODON_00001045
http://purl.obolibrary.org/obo/FOODON_03301926", , , 
3,"Indeed, the entities that relate to food are:  canola oil, corn oil, fat","Definitely, the entities are interrelated as:  canola oil - http://purl.obolibrary.org/obo/FOODON_03302578;http://purl.obolibrary.org/obo/NCBITaxon_138011;http://purl.obolibrary.org/obo/FOODON_03310387, corn oil - http://purl.obolibrary.org/obo/FOODON_03301474;http://purl.obolibrary.org/obo/NCBITaxon_381124;http://purl.obolibrary.org/obo/FOODON_03310387, fat - http://purl.obolibrary.org/obo/FOODON_00003265;http://purl.obolibrary.org/obo/UBERON_0001013.","Indeed, the entities are connected accordingly: corn oil - http://purl.obolibrary.org/obo/FOODON_03301474;http://purl.obolibrary.org/obo/NCBITaxon_381124;http://purl.obolibrary.org/obo/FOODON_03310387, canola oil - http://purl.obolibrary.org/obo/FOODON_03302578;http://purl.obolibrary.org/obo/NCBITaxon_138011;http://purl.obolibrary.org/obo/FOODON_03310387.", , , ,0.750,0.750,0.750
