instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.954,0.935,0.942
0,"Please provide links to the Hansard taxonomy for these entities outlined: ranch salad dressing, tea bags, cream cheese, vegan cream cheese, crumbles, ham, liquid, ranch salad dressing, filled pie ?","Indeed, the entities are united in this way:  ranch salad dressing -  AG.01.h.02 [Vegetables];AG.01.n.09 [Prepared vegetables and dishes], tea bags -  AG.01.ac [Tea];AG.01.af [Tea manufacture];AG.01.r [Meal], cream cheese -  AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], vegan cream cheese -  AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.x.01 [Eating], crumbles -  AG.01.n.08 [Prepared fruit and dishes], ham -  AE.07.b [Body and limbs], liquid -  AG.01 [Food], ranch salad dressing -  AG.01.h.02 [Vegetables];AG.01.n.09 [Prepared vegetables and dishes], filled pie -  AG.01.n.15 [Pastry];AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite].","Definitely, the entities are linked in this fashion: ranch salad dressing - AG.01.h.02 [Vegetables];AG.01.n.09 [Prepared vegetables and dishes], tea bags - AG.01.ac [Tea];AG.01.af [Tea manufacture];AG.01.r [Meal], cream cheese - AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], vegan cream cheese - AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.x.01 [Eating], crumbles - AG.01.n.08 [Prepared fruit and dishes], ham - AG.01.d.02 [Part/joint of animal], liquid - AG.01 [Food], ranch salad dressing - AG.01.h.02 [Vegetables];AG.01.n.09 [Prepared vegetables and dishes], filled pie - AG.01.n.15 [Pastry];AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite].", , , ,0.950,0.950,0.950
0_0, , , ,ranch salad dressing,"AG.01.h.02
AG.01.n.09","AG.01.h.02
AG.01.n.09", , , 
0_1, , , ,tea bags,"AG.01.ac
AG.01.af
AG.01.r","AG.01.ac
AG.01.af
AG.01.r", , , 
0_2, , , ,cream cheese,"AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18","AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18", , , 
0_3, , , ,vegan cream cheese,"AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18
AG.01.x.01","AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18
AG.01.x.01", , , 
0_4, , , ,crumbles,AG.01.n.08,AG.01.n.08, , , 
0_5, , , ,ham,AE.07.b,AG.01.d.02, , , 
0_6, , , ,liquid,AG.01,AG.01, , , 
0_7, , , ,filled pie,"AG.01.n.15
AG.01.t.05
AG.01.x.02","AG.01.n.15
AG.01.t.05
AG.01.x.02", , , 
