instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.929,0.800,0.854
0,"Certainly, the entities connected with food are outlined as follows:  cream cheese, beef, olives, onion, Worcestershire sauce, walnuts, cheese ball","Certainly, the entities are associated properly:  cream cheese -  AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], beef -  AG.01.d.03 [Beef], olives -  AG.01.h.01.e [Fruit containing stone], onion -  AG.01.h.02.e [Onion/leek/garlic], Worcestershire sauce -  AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing], walnuts -  AG.01.h.01.f [Nut], cheese ball -  AG.01.e.02 [Cheese];AG.01.n.18 [Preserve].","Absolutely, the entities are related properly: cream cheese - AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], beef - AG.01.d.03 [Beef], olives - AG.01.h.01.e [Fruit containing stone], onion - AG.01.h.02.e [Onion/leek/garlic], Worcestershire sauce - AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing], cheese ball - AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], walnuts - AG.01.h.01.f [Nut], cheese - AG.01.e.02 [Cheese];AG.01.n.18 [Preserve].", , , ,1.000,1.000,1.000
0_0, , , ,cream cheese,"AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18","AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18", , , 
0_1, , , ,beef,AG.01.d.03,AG.01.d.03, , , 
0_2, , , ,olives,AG.01.h.01.e,AG.01.h.01.e, , , 
0_3, , , ,onion,AG.01.h.02.e,AG.01.h.02.e, , , 
0_4, , , ,worcestershire sauce,"AG.01.h
AG.01.l.04","AG.01.h
AG.01.l.04", , , 
0_5, , , ,walnuts,AG.01.h.01.f,AG.01.h.01.f, , , 
0_6, , , ,cheese ball,"AG.01.e.02
AG.01.n.18","AG.01.e.02
AG.01.n.18", , , 
1,"Indeed, the entities concerning food are detailed below:  ranch dressing mix, garlic powder, dill, vegetable oil, crackers","Absolutely, the entities are associated as:  ranch dressing mix -  AG.01.m [Substances for food preparation], garlic powder -  AG.01.h.02.e [Onion/leek/garlic], dill -  AG.01.h.02.i [Herb], vegetable oil -  AG.01.f [Fat/oil], crackers -  AG.01 [Food].","Of course, the entities are bonded appropriately: ranch dressing mix - AG.01.l.04 [Sauce/dressing];AG.01.m [Substances for food preparation], garlic powder - AG.01.h.02.e [Onion/leek/garlic], dill - AG.01.h.02.i [Herb], vegetable oil - AG.01.f [Fat/oil], crackers - AG.01 [Food].", , , ,1.000,1.000,1.000
1_0, , , ,ranch dressing mix,AG.01.m,"AG.01.l.04
AG.01.m", , , 
1_1, , , ,garlic powder,AG.01.h.02.e,AG.01.h.02.e, , , 
1_2, , , ,dill,AG.01.h.02.i,AG.01.h.02.i, , , 
1_3, , , ,vegetable oil,AG.01.f,AG.01.f, , , 
1_4, , , ,crackers,AG.01,AG.01, , , 
2,"Definitely, the entities relevant to food are as follows:  ground beef, cracker crumbs, chopped onion, milk, eggs, salt, meatballs, ketchup, water, brown sugar, nutmeg","Of course, the entities are bonded accordingly:  ground beef -  AG.01.d.03 [Beef], cracker crumbs -  AG.01 [Food], chopped onion -  AG.01.h.02.e [Onion/leek/garlic], milk -  AG.01.e [Dairy produce], eggs -  AG.01.g [Eggs], salt -  AG.01.l.01 [Salt];AG.01.w [Setting table], meatballs -  AG.01 [Food], ketchup -  AG.01 [Food], water -  AG.01.z [Water], brown sugar -  AG.01 [Food], nutmeg -  AG.01.l.03 [Spice].","Definitely, the entities are linked in this fashion: ground beef - AG.01.d.03 [Beef], cracker crumbs - AG.01.n.11 [Bread];AG.01.n.14 [Biscuit], chopped onion - AG.01.h.02.e [Onion/leek/garlic], milk - AG.01.e [Dairy produce], eggs - AG.01.g [Eggs], salt - AG.01.l.01 [Salt];AG.01.w [Setting table], meatballs - AG.01.p [Amounts of food], ketchup - AG.01 [Food], water - AG.01.z [Water], brown sugar - AG.01 [Food], nutmeg - AG.01.l.03 [Spice].", , , ,1.000,0.833,0.889
2_0, , , ,ground beef,AG.01.d.03,AG.01.d.03, , , 
2_1, , , ,cracker crumbs,AG.01,"AG.01.n.11
AG.01.n.14", , , 
2_2, , , ,chopped onion,AG.01.h.02.e,AG.01.h.02.e, , , 
2_3, , , ,milk,AG.01.e,AG.01.e, , , 
2_4, , , ,eggs,AG.01.g,AG.01.g, , , 
2_5, , , ,salt,"AG.01.l.01
AG.01.w","AG.01.l.01
AG.01.w", , , 
2_6, , , ,meatballs,AG.01,AG.01.p, , , 
2_7, , , ,ketchup,AG.01,AG.01, , , 
2_8, , , ,water,AG.01.z,AG.01.z, , , 
2_9, , , ,brown sugar,AG.01,AG.01, , , 
2_10, , , ,nutmeg,AG.01.l.03,AG.01.l.03, , , 
3,"Indeed, the entities that relate to food are outlined as follows:  sugar, water, peanuts, syrup, nuts","Of course, the entities are bonded appropriately:  sugar -  AG.01.l.02 [Sweetener (syrup/honey/chocolate)], water -  AG.01.z [Water], peanuts -  AG.01.h.01.f [Nut], syrup -  AG.01.l.02 [Sweetener (syrup/honey/chocolate)], nuts -  AG.01.h.01.f [Nut].","Indeed, the entities are connected accordingly: sugar - AG.01.l.02 [Sweetener (syrup/honey/chocolate)], water - AG.01.z [Water], peanuts - AG.01.h.01.f [Nut], syrup - AG.01.l.02 [Sweetener (syrup/honey/chocolate)], nuts - AG.01.h.01.f [Nut].", , , ,1.000,1.000,1.000
3_0, , , ,sugar,AG.01.l.02,AG.01.l.02, , , 
3_1, , , ,water,AG.01.z,AG.01.z, , , 
3_2, , , ,peanuts,AG.01.h.01.f,AG.01.h.01.f, , , 
3_3, , , ,syrup,AG.01.l.02,AG.01.l.02, , , 
3_4, , , ,nuts,AG.01.h.01.f,AG.01.h.01.f, , , 
