instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.911,0.777,0.834
0,"Sure thing, the entities linked to food are outlined below:  egg whites, vanilla extract, almonds, brown sugar, white sugar, cinnamon, salt, almond mixture, coating","Certainly, the entities are associated as such:  egg whites -  AG.01.g [Eggs];AG.01.k [Flour], vanilla extract -  AF.12 [Particular plants/herbs/shrubs], almonds -  AG.01.h.01.f [Nut], brown sugar -  AG.01 [Food], white sugar -  AG.01.l.02 [Sweetener (syrup/honey/chocolate)], cinnamon -  AG.01.l.03 [Spice], salt -  AG.01.l.01 [Salt];AG.01.w [Setting table], almond mixture -  AG.01.af [Tea manufacture];AG.01.h.01.f [Nut];AG.01.n.17 [Confections/sweetmeats], coating -  AG.01 [Food].","Of course, the entities are bonded in the following way: egg whites - AG.01.g [Eggs], vanilla extract - AF.12 [Particular plants/herbs/shrubs], almonds - AG.01.h.01.f [Nut], brown sugar - AG.01 [Food], white sugar - AG.01.l.02 [Sweetener (syrup/honey/chocolate)], cinnamon - AG.01.l.03 [Spice], salt - AG.01.l.01 [Salt];AG.01.w [Setting table], almond mixture - AG.01.h.01.f [Nut];AG.01.n.17 [Confections/sweetmeats].", , , ,0.846,0.769,0.795
0_0, , , ,egg whites,"AG.01.g
AG.01.k",AG.01.g, , , 
0_1, , , ,vanilla extract,AF.12,AF.12, , , 
0_2, , , ,almonds,AG.01.h.01.f,AG.01.h.01.f, , , 
0_3, , , ,brown sugar,AG.01,AG.01, , , 
0_4, , , ,white sugar,AG.01.l.02,AG.01.l.02, , , 
0_5, , , ,cinnamon,AG.01.l.03,AG.01.l.03, , , 
0_6, , , ,salt,"AG.01.l.01
AG.01.w","AG.01.l.01
AG.01.w", , , 
0_7, , , ,almond mixture,"AG.01.af
AG.01.h.01.f
AG.01.n.17","AG.01.h.01.f
AG.01.n.17", , , 
0_8, , , ,coating,AG.01,, , , 
