instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.944,0.774,0.840
0,"Certainly, the entities connected with food are outlined as follows:  cream cheese, beef, olives, onion, Worcestershire sauce, walnuts, cheese ball","Absolutely, the entities are related as such:  cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, beef - http://purl.bioontology.org/ontology/SNOMEDCT/226916002, olives - http://purl.bioontology.org/ontology/SNOMEDCT/227436000, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, worcestershire sauce - http://purl.bioontology.org/ontology/SNOMEDCT/443701000124100;http://purl.bioontology.org/ontology/SNOMEDCT/227519005, cheese - http://purl.bioontology.org/ontology/SNOMEDCT/102264005.","Absolutely, the entities are related suitably: cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, beef - http://purl.bioontology.org/ontology/SNOMEDCT/226916002, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, worcestershire sauce - http://purl.bioontology.org/ontology/SNOMEDCT/443701000124100;http://purl.bioontology.org/ontology/SNOMEDCT/227519005, cheese - http://purl.bioontology.org/ontology/SNOMEDCT/102264005.", , , ,0.889,0.889,0.889
0_0, , , ,cream cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006", , , 
0_1, , , ,beef,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,http://purl.bioontology.org/ontology/SNOMEDCT/226916002, , , 
0_2, , , ,olives,http://purl.bioontology.org/ontology/SNOMEDCT/227436000,, , , 
0_3, , , ,onion,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,http://purl.bioontology.org/ontology/SNOMEDCT/735047000, , , 
0_4, , , ,worcestershire sauce,"http://purl.bioontology.org/ontology/SNOMEDCT/227519005
http://purl.bioontology.org/ontology/SNOMEDCT/443701000124100","http://purl.bioontology.org/ontology/SNOMEDCT/227519005
http://purl.bioontology.org/ontology/SNOMEDCT/443701000124100", , , 
0_5, , , ,cheese,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,http://purl.bioontology.org/ontology/SNOMEDCT/102264005, , , 
1,"Indeed, the entities concerning food are detailed below:  ranch dressing mix, garlic powder, dill, vegetable oil, crackers","Of course, the entities are connected as:  garlic - http://purl.bioontology.org/ontology/SNOMEDCT/735030001, dill - http://purl.bioontology.org/ontology/SNOMEDCT/256331002, vegetable oil - http://purl.bioontology.org/ontology/SNOMEDCT/412552006;http://purl.bioontology.org/ontology/SNOMEDCT/22836000.","Absolutely, the entities are related suitably: dressing - http://purl.bioontology.org/ontology/SNOMEDCT/227972007, garlic - http://purl.bioontology.org/ontology/SNOMEDCT/735030001, dill - http://purl.bioontology.org/ontology/SNOMEDCT/256331002.", , , ,0.500,0.500,0.500
1_0, , , ,garlic,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,http://purl.bioontology.org/ontology/SNOMEDCT/735030001, , , 
1_1, , , ,dill,http://purl.bioontology.org/ontology/SNOMEDCT/256331002,http://purl.bioontology.org/ontology/SNOMEDCT/256331002, , , 
1_2, , , ,vegetable oil,"http://purl.bioontology.org/ontology/SNOMEDCT/22836000
http://purl.bioontology.org/ontology/SNOMEDCT/412552006",, , , 
2,"Definitely, the entities relevant to food are as follows:  ground beef, cracker crumbs, chopped onion, milk, eggs, salt, meatballs, ketchup, water, brown sugar, nutmeg","Indeed, the entities are connected appropriately:  beef - http://purl.bioontology.org/ontology/SNOMEDCT/226916002, cracker - http://purl.bioontology.org/ontology/SNOMEDCT/226543002, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002, ketchup - http://purl.bioontology.org/ontology/SNOMEDCT/442891000124107, brown sugar - http://purl.bioontology.org/ontology/SNOMEDCT/230055000, nutmeg - http://purl.bioontology.org/ontology/SNOMEDCT/735046009.","Of course, the entities are bonded accordingly: beef - http://purl.bioontology.org/ontology/SNOMEDCT/226916002, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002, meat - http://purl.bioontology.org/ontology/SNOMEDCT/28647000, ketchup - http://purl.bioontology.org/ontology/SNOMEDCT/442891000124107, brown sugar - http://purl.bioontology.org/ontology/SNOMEDCT/230055000, nutmeg - http://purl.bioontology.org/ontology/SNOMEDCT/735046009.", , , ,0.857,0.857,0.857
2_0, , , ,beef,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,http://purl.bioontology.org/ontology/SNOMEDCT/226916002, , , 
2_1, , , ,cracker,http://purl.bioontology.org/ontology/SNOMEDCT/226543002,, , , 
2_2, , , ,onion,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,http://purl.bioontology.org/ontology/SNOMEDCT/735047000, , , 
2_3, , , ,milk,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,http://purl.bioontology.org/ontology/SNOMEDCT/70813002, , , 
2_4, , , ,ketchup,http://purl.bioontology.org/ontology/SNOMEDCT/442891000124107,http://purl.bioontology.org/ontology/SNOMEDCT/442891000124107, , , 
2_5, , , ,brown sugar,http://purl.bioontology.org/ontology/SNOMEDCT/230055000,http://purl.bioontology.org/ontology/SNOMEDCT/230055000, , , 
2_6, , , ,nutmeg,http://purl.bioontology.org/ontology/SNOMEDCT/735046009,http://purl.bioontology.org/ontology/SNOMEDCT/735046009, , , 
3,"Indeed, the entities that relate to food are outlined as follows:  sugar, water, peanuts, syrup, nuts","Of course, the entities are tied in this way:  syrup - http://purl.bioontology.org/ontology/SNOMEDCT/229862008.","Absolutely, the entities are related in this manner: sugar - http://purl.bioontology.org/ontology/SNOMEDCT/230053007, syrup - http://purl.bioontology.org/ontology/SNOMEDCT/229862008.", , , ,1.000,1.000,1.000
3_0, , , ,syrup,http://purl.bioontology.org/ontology/SNOMEDCT/229862008,http://purl.bioontology.org/ontology/SNOMEDCT/229862008, , , 
4,"Definitely, the entities concerning food are:  rice, water, liquid, rice vinegar, salt, seaweed sheets, cucumber, imitation crabmeat, cream cheese, sushi, toppings, seaweed sheet, roll, minced ginger","Indeed, the entities are attached as:  rice - http://purl.bioontology.org/ontology/SNOMEDCT/67324005, seaweed - http://purl.bioontology.org/ontology/SNOMEDCT/227265009;http://purl.bioontology.org/ontology/SNOMEDCT/82114006, cucumber - http://purl.bioontology.org/ontology/SNOMEDCT/735213008, cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, ginger - http://purl.bioontology.org/ontology/SNOMEDCT/227400003.","Certainly, the entities are associated in this manner: rice - http://purl.bioontology.org/ontology/SNOMEDCT/67324005, seaweed - http://purl.bioontology.org/ontology/SNOMEDCT/227265009;http://purl.bioontology.org/ontology/SNOMEDCT/67324005, cucumber - http://purl.bioontology.org/ontology/SNOMEDCT/735213008, cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, sushi - http://purl.bioontology.org/ontology/SNOMEDCT/227549007, ginger - http://purl.bioontology.org/ontology/SNOMEDCT/227400003.", , , ,0.812,0.875,0.833
4_0, , , ,rice,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,http://purl.bioontology.org/ontology/SNOMEDCT/67324005, , , 
4_1, , , ,seaweed,"http://purl.bioontology.org/ontology/SNOMEDCT/227265009
http://purl.bioontology.org/ontology/SNOMEDCT/82114006","http://purl.bioontology.org/ontology/SNOMEDCT/227265009
http://purl.bioontology.org/ontology/SNOMEDCT/67324005", , , 
4_2, , , ,cucumber,http://purl.bioontology.org/ontology/SNOMEDCT/735213008,http://purl.bioontology.org/ontology/SNOMEDCT/735213008, , , 
4_3, , , ,cream cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006", , , 
4_4, , , ,ginger,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,http://purl.bioontology.org/ontology/SNOMEDCT/227400003, , , 
5,"Indeed, the entities that relate to food are:  garbanzo beans, lemon juice, garlic, tahini, crushed red pepper","Certainly, the entities are associated in this fashion:  lemon juice - http://purl.bioontology.org/ontology/SNOMEDCT/226495007;http://purl.bioontology.org/ontology/SNOMEDCT/129559002, garlic - http://purl.bioontology.org/ontology/SNOMEDCT/735030001, pepper - http://purl.bioontology.org/ontology/SNOMEDCT/227563001.","Definitely, the entities are linked as: garbanzo beans - http://purl.bioontology.org/ontology/SNOMEDCT/227549007, lemon juice - http://purl.bioontology.org/ontology/SNOMEDCT/226495007;http://purl.bioontology.org/ontology/SNOMEDCT/129559002, garlic - http://purl.bioontology.org/ontology/SNOMEDCT/735030001, tahini - http://purl.bioontology.org/ontology/SNOMEDCT/227400003.", , , ,0.750,0.750,0.750
5_0, , , ,lemon juice,"http://purl.bioontology.org/ontology/SNOMEDCT/129559002
http://purl.bioontology.org/ontology/SNOMEDCT/226495007","http://purl.bioontology.org/ontology/SNOMEDCT/129559002
http://purl.bioontology.org/ontology/SNOMEDCT/226495007", , , 
5_1, , , ,garlic,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,http://purl.bioontology.org/ontology/SNOMEDCT/735030001, , , 
5_2, , , ,pepper,http://purl.bioontology.org/ontology/SNOMEDCT/227563001,, , , 
6,"Certainly, the entities connected with food are outlined as follows:  salmon, cream cheese, horseradish, lemon juice, onion, parsley, pecans, assorted crackers","Indeed, the entities are connected in the following way:  salmon - http://purl.bioontology.org/ontology/SNOMEDCT/735009005, cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, horseradish - http://purl.bioontology.org/ontology/SNOMEDCT/735040003, lemon juice - http://purl.bioontology.org/ontology/SNOMEDCT/226495007;http://purl.bioontology.org/ontology/SNOMEDCT/129559002, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, parsley - http://purl.bioontology.org/ontology/SNOMEDCT/735048005.","Absolutely, the entities are related in the following way: salmon - http://purl.bioontology.org/ontology/SNOMEDCT/735009005, cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, horseradish - http://purl.bioontology.org/ontology/SNOMEDCT/735040003, lemon juice - http://purl.bioontology.org/ontology/SNOMEDCT/226495007;http://purl.bioontology.org/ontology/SNOMEDCT/129559002, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, parsley - http://purl.bioontology.org/ontology/SNOMEDCT/735048005.", , , ,1.000,1.000,1.000
6_0, , , ,salmon,http://purl.bioontology.org/ontology/SNOMEDCT/735009005,http://purl.bioontology.org/ontology/SNOMEDCT/735009005, , , 
6_1, , , ,cream cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006", , , 
6_2, , , ,horseradish,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,http://purl.bioontology.org/ontology/SNOMEDCT/735040003, , , 
